name,price,rank,url
Vengeance LPX DDR4 3600 C18 2x8GB,174.0,40,https://ram.userbenchmark.com/SpeedTest/808862/Corsair-Vengeance-LPX-CMK16GX4M2D3600C18-2x8GB
Vengeance RGB DDR4 3600 C18 2x8GB,,41,https://ram.userbenchmark.com/SpeedTest/315553/Corsair-CMR16GX4M2C3600C18-2x8GB
Vengeance RGB PRO DDR4 3200 C16 2x16GB,,42,https://ram.userbenchmark.com/SpeedTest/587593/Corsair-CMW32GX4M2C3200C16-2x16GB
Vengeance LPX DDR4 2800 C16 4x4GB,,43,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2800-C16-4x4GB/Rating/3541
Vengeance LPX DDR4 2666 C16 4x4GB,,44,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x4GB/Rating/3557
Vengeance LPX DDR4 3200 C16 2x16GB,510.0,45,https://ram.userbenchmark.com/SpeedTest/97244/Corsair-Vengeance-LPX-CMK32GX4M2B3200C16-2x16GB
Vengeance LPX DDR4 2400 C14 4x8GB,,46,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x8GB/Rating/3542
Vengeance RGB DDR4 3000 C15 2x16GB,,47,https://ram.userbenchmark.com/SpeedTest/335632/Corsair-CMR32GX4M2C3000C15-2x16GB
Vengeance LPX DDR4 3200 C16 2x16GB,340.0,48,https://ram.userbenchmark.com/SpeedTest/814385/Corsair-Vengeance-LPX-CMK32GX4M2E3200C16-2x16GB
Trident Z DDR4 3200 C16 2x8GB,492.0,49,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3200-C16-2x8GB/Rating/3550
Vengeance LPX DDR4 2400 C16 4x8GB,,50,https://ram.userbenchmark.com/SpeedTest/108268/Corsair-Vengeance-LPX-CMK32GX4M4A2400C16-4x8GB
Vengeance LPX DDR4 3200 C16 2x8GB,303.0,51,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547
Vengeance RGB DDR4 3200 C16 2x8GB,,52,https://ram.userbenchmark.com/SpeedTest/298180/Corsair-CMR16GX4M2C3200C16-2x8GB
Vengeance LED DDR4 3200 C16 2x8GB,,53,https://ram.userbenchmark.com/SpeedTest/155727/Corsair-CMU16GX4M2C3200C16-2x8GB
Vengeance LPX DDR4 2666 C16 4x8GB,340.0,54,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-4x8GB/Rating/3586
Vengeance LPX DDR4 3200 C16 2x8GB,215.0,55,https://ram.userbenchmark.com/SpeedTest/812521/Corsair-Vengeance-LPX-CMK16GX4M2E3200C16-2x8GB
Vengeance LPX DDR4 3000 C15 2x16GB,,56,https://ram.userbenchmark.com/SpeedTest/92054/Corsair-Vengeance-LPX-CMK32GX4M2B3000C15-2x16GB
Trident Z DDR4 3000 C15 2x8GB,,57,https://ram.userbenchmark.com/GSKILL-Trident-Z-DDR4-3000-C15-2x8GB/Rating/3548
Trident Z RGB DDR4 3200 C16 2x8GB,180.0,58,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB
Fury DDR4 2666 C15 2x4GB,,59,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x4GB/Rating/3556
Ripjaws V DDR4 3200 C16 2x8GB,120.0,60,https://ram.userbenchmark.com/SpeedTest/89324/GSKILL-F4-3200C16-8GVKB-2x8GB
Vengeance LPX DDR4 2400 C14 4x4GB,,61,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-4x4GB/Rating/3533
Fury DDR4 2666 C15 2x8GB,,62,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2666-C15-2x8GB/Rating/3553
Dominator DDR4 3000 C15 2x8GB,,63,https://ram.userbenchmark.com/Corsair-Dominator-DDR4-3000-C15-2x8GB/Rating/3597
Vengeance RGB DDR4 3000 C15 2x8GB,,64,https://ram.userbenchmark.com/SpeedTest/258851/Corsair-CMR16GX4M2C3000C15-2x8GB
Vengeance LED DDR4 3000 C15 2x8GB,,65,https://ram.userbenchmark.com/SpeedTest/156965/Corsair-CMU16GX4M2C3000C15-2x8GB
Predator 2666 C13 2x8GB,,66,https://ram.userbenchmark.com/SpeedTest/318273/Kingston-KHX2666C138GX-2x8GB
Vengeance DDR3 1600 C9 8x8GB,,67,https://ram.userbenchmark.com/SpeedTest/100478/Corsair-Vengeance-CMZ64GX3M8A1600C9-8x8GB
Fury 2666 C16 2x8GB,,68,https://ram.userbenchmark.com/SpeedTest/272118/Kingston-KHX2666C168G-2x8GB
Vengeance LPX DDR4 3000 C15 2x8GB,220.0,69,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546
Fury DDR4 2400 C15 4x4GB,,70,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-4x4GB/Rating/3585
Vengeance RGB DDR4 3000 C16 2x8GB,,71,https://ram.userbenchmark.com/SpeedTest/465040/Corsair-CMR16GX4M2D3000C16-2x8GB
Vengeance LPX DDR4 3000 C15 2x4GB,,72,https://ram.userbenchmark.com/SpeedTest/90523/Corsair-Vengeance-LPX-CMK8GX4M2B3000C15-2x4GB
Fury DDR4 2133 C14 4x8GB,,73,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-4x8GB/Rating/3569
Vengeance LPX DDR4 2400 C16 4x4GB,,74,https://ram.userbenchmark.com/SpeedTest/89553/Corsair-Vengeance-LPX-CMK16GX4M4A2400C16-4x4GB
Trident Z RGB DDR4 3000 C16 2x8GB,234.0,75,https://ram.userbenchmark.com/SpeedTest/236585/GSKILL-F4-3000C16-8GTZR-2x8GB
Vengeance RGB PRO DDR4 3200 C15 2x8GB,230.0,76,https://ram.userbenchmark.com/SpeedTest/523893/Corsair-CMW16GX4M2C3000C15-2x8GB
Vengeance LPX DDR4 3000 C16 2x8GB,,77,https://ram.userbenchmark.com/SpeedTest/337520/Corsair-Vengeance-LPX-CMK16GX4M2C3000C16-2x8GB
Ballistix Sport LT DDR4 2400 C16 4x8GB,,78,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-4x8GB/Rating/3637
Fury DDR4 2400 C15 2x8GB,,79,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2400-C15-2x8GB/Rating/3587
Ballistix Sport DDR4 2400 C16 2x8GB,,80,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-2x8GB/Rating/3611
Ballistix Sport LT DDR4 2400 C16 2x8GB,,81,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638
Vengeance LPX DDR4 2400 C16 2x16GB,260.0,82,https://ram.userbenchmark.com/SpeedTest/131225/Corsair-Vengeance-LPX-CMK32GX4M2A2400C16-2x16GB
Vengeance LPX DDR4 2666 C16 2x8GB,216.0,83,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545
Vengeance LPX DDR4 2400 C16 2x4GB,101.0,84,https://ram.userbenchmark.com/SpeedTest/105361/Corsair-Vengeance-LPX-CMK8GX4M2A2400C16-2x4GB
Vengeance LPX DDR4 2666 C16 2x4GB,,85,https://ram.userbenchmark.com/SpeedTest/90467/Corsair-Vengeance-LPX-CMK8GX4M2A2666C16-2x4GB
Ripjaws V DDR4 2400 C15 4x8GB,,86,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-4x8GB/Rating/3568
Vengeance LPX DDR4 2666 C16 2x16GB,540.0,87,https://ram.userbenchmark.com/SpeedTest/92488/Corsair-Vengeance-LPX-CMK32GX4M2A2666C16-2x16GB
Vengeance LPX DDR4 2400 C16 2x8GB,200.0,88,https://ram.userbenchmark.com/SpeedTest/92730/Corsair-Vengeance-LPX-CMK16GX4M2A2400C16-2x8GB
Vengeance RGB DDR4 2666 C16 2x8GB,,89,https://ram.userbenchmark.com/SpeedTest/282283/Corsair-CMR16GX4M2A2666C16-2x8GB
TridentX DDR3 2400 C10 4x8GB,,90,https://ram.userbenchmark.com/SpeedTest/89345/GSKILL-F3-2400C10-8GTX-4x8GB
Vengeance LED DDR4 2666 C16 2x8GB,,91,https://ram.userbenchmark.com/SpeedTest/152975/Corsair-CMU16GX4M2A2666C16-2x8GB
Fury DDR4 2133 C14 2x8GB,,92,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x8GB/Rating/3552
Vengeance LED DDR4 2400 C16 2x8GB,,93,https://ram.userbenchmark.com/SpeedTest/293029/Corsair-CMU16GX4M2A2400C16-2x8GB
Vengeance LPX DDR4 2400 C14 2x8GB,96.0,94,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2400-C14-2x8GB/Rating/3544
Ripjaws V DDR4 2400 C15 2x4GB,84.0,95,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x4GB/Rating/3559
Ripjaws V DDR4 2400 C15 2x8GB,89.0,96,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2400-C15-2x8GB/Rating/3549
Vengeance LPX DDR4 2400 C14 2x4GB,,97,https://ram.userbenchmark.com/SpeedTest/89740/Corsair-Vengeance-LPX-CMK8GX4M2A2400C14-2x4GB
Ripjaws V DDR4 2133 C15 2x16GB,,98,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x16GB/Rating/3633
Ripjaws 4 DDR4 2400 C15 2x8GB,,99,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C15-2x8GB/Rating/3551
Fury DDR4 2133 C14 2x4GB,,100,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-2x4GB/Rating/3554
Vengeance LPX DDR4 2133 C13 2x8GB,210.0,101,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543
Ripjaws V DDR4 2133 C15 2x4GB,,102,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x4GB/Rating/3560
Ballistix Sport DDR4 2400 C16 2x4GB,,103,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-DDR4-2400-C16-2x4GB/Rating/3601
Ripjaws V DDR4 2133 C15 2x8GB,,104,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x8GB/Rating/3632
TridentX DDR3 2400 C10 2x8GB,,105,https://ram.userbenchmark.com/SpeedTest/89322/GSKILL-F3-2400C10-8GTX-2x8GB
Savage DDR3 2400 C11 2x8GB,,106,https://ram.userbenchmark.com/SpeedTest/43621/Kingston-KHX2400C11D38GX-2x8GB
Fury DDR3 1866 C10 2x8GB,,107,https://ram.userbenchmark.com/SpeedTest/42962/Kingston-KHX1866C10D38G-2x8GB
Vengeance Pro DDR3 2400 C11 2x8GB,,108,https://ram.userbenchmark.com/SpeedTest/89568/Corsair-Vengeance-Pro-CMY16GX3M2A2400C11-2x8GB
Ballistix Sport DDR3 1600 C9 2x4GB,,109,https://ram.userbenchmark.com/SpeedTest/50785/Crucial-BLS4G3D1609DS1S00-2x4GB
Fury DDR3 1600 C10 2x8GB,,110,https://ram.userbenchmark.com/SpeedTest/42910/Kingston-KHX1600C10D38G-2x8GB
